Date,Open,High,Low,Close,Adjusted,Volume,Dividend amount
28-02-2019,103.78,113.24,102.35,112.03,106.0328,469095970,0.46
,,,,,,,
31-01-2019,99.55,107.9,97.2,104.43,98.4171,714204787,0
,,,,,,,
31-12-2018,113,113.42,93.96,101.57,95.7218,944287635,0
,,,,,,,
30-11-2018,107.05,112.24,99.35,110.89,104.5051,720228643,0.46
,,,,,,,
31-10-2018,114.75,116.18,100.11,106.81,100.2209,927547942,0
,,,,,,,
28-09-2018,110.85,115.29,107.23,114.37,107.3145,480255674,0
,,,,,,,
31-08-2018,106.03,112.78,104.84,112.33,105.4003,456630721,0.42
,,,,,,,
31-07-2018,98.1,111.15,98,106.08,99.1491,569501573,0
,,,,,,,
29-06-2018,99.28,102.69,97.26,98.61,92.1672,602585341,0
,,,,,,,
31-05-2018,93.21,99.99,92.45,98.84,92.3821,509418119,0.42
,,,,,,,
30-04-2018,90.47,97.9,87.51,93.52,87.0335,668258570,0
,,,,,,,
29-03-2018,93.99,97.24,87.08,91.27,84.9395,732866406,0
,,,,,,,
28-02-2018,94.79,96.07,83.83,93.77,87.2661,690287596,0.42
,,,,,,,
31-01-2018,86.13,95.45,85.5,95.01,88.0131,543377322,0
,,,,,,,
29-12-2017,83.6,87.4999,80.7,85.54,79.2405,447828256,0
,,,,,,,
30-11-2017,83.68,85.06,82.24,84.17,77.9714,415711970,0.42
,,,,,,,
31-10-2017,74.71,86.2,73.71,83.18,76.6662,440510118,0
,,,,,,,
29-09-2017,74.71,75.97,72.92,74.49,68.6567,367134396,0
,,,,,,,
31-08-2017,73.1,74.96,71.28,74.77,68.9148,429156682,0.39
,,,,,,,
31-07-2017,69.33,74.42,68.02,72.7,66.6519,451248934,0
,,,,,,,
30-06-2017,70.24,72.89,68.09,68.93,63.1955,610120893,0
,,,,,,,
31-05-2017,68.68,70.74,67.14,69.84,64.0298,505249296,0.39
,,,,,,,
28-04-2017,65.81,69.14,64.85,68.46,62.4139,428857613,0
,,,,,,,
31-03-2017,64.13,66.19,63.62,65.86,60.0436,489173200,0
,,,,,,,
28-02-2017,64.355,65.24,62.75,63.98,58.3296,440744043,0.39
,,,,,,,
31-01-2017,62.79,65.91,61.95,64.65,58.5866,494435826,0
,,,,,,,
30-12-2016,60.11,64.1,58.8,62.14,56.312,513579428,0
,,,,,,,
30-11-2016,59.97,61.41,57.28,60.26,54.6083,613056964,0.39
,,,,,,,
31-10-2016,57.405,61.3699,56.315,59.92,53.9428,614841775,0
,,,,,,,
30-09-2016,57.01,58.19,55.61,57.6,51.8542,526855083,0
,,,,,,,
31-08-2016,56.6,58.7,56.14,57.46,51.7282,467079004,0.36
,,,,,,,
29-07-2016,51.13,57.29,50.39,56.68,50.7082,647587634,0
,,,,,,,
30-06-2016,52.44,52.95,48.035,51.17,45.7787,823987498,0
,,,,,,,
31-05-2016,50,53,49.46,53,47.4159,530869347,0.36
,,,,,,,
29-04-2016,55.05,56.77,49.35,49.87,44.3,699025640,0
,,,,,,,
31-03-2016,50.97,55.64,50.58,55.23,49.0613,640372350,0
,,,,,,,
29-02-2016,54.88,55.09,48.19,50.88,45.1972,814770780,0.36
,,,,,,,
29-01-2016,54.32,55.39,49.1,55.09,48.5945,927914485,0
,,,,,,,
31-12-2015,54.41,56.85,53.68,55.48,48.9385,793070000,0
,,,,,,,
30-11-2015,52.85,54.98,52.53,54.35,47.9418,662622220,0.36
,,,,,,,
30-10-2015,44.75,54.37,43.75,52.64,46.12,857330655,0
,,,,,,,
30-09-2015,42.23,45,41.66,44.2,38.7253,670779566,0
,,,,,,,
31-08-2015,46.98,48.41,39.72,43.52,38.1296,776277394,0.31
,,,,,,,
31-07-2015,44.46,47.4,43.32,46.7,40.6491,725458102,0
,,,,,,,
30-06-2015,47.06,47.77,43.94,44.15,38.4295,664853340,0
,,,,,,,
29-05-2015,48.58,48.905,46.02,46.86,40.7884,633072750,0.31
,,,,,,,
30-04-2015,40.6,49.54,40.12,48.64,42.0637,874535095,0
,,,,,,,
31-03-2015,43.67,44.19,40.54,40.655,35.1583,824335340,0
,,,,,,,
27-02-2015,40.59,44.3,40.23,43.85,37.9213,656509827,0.31
,,,,,,,
30-01-2015,46.66,47.91,40.35,40.4,34.691,918738022,0
,,,,,,,
31-12-2014,47.88,49.06,44.9,46.45,39.8861,626810606,0
,,,,,,,
28-11-2014,46.89,50.045,46.73,47.81,41.0539,523008240,0.31
,,,,,,,
31-10-2014,46.27,46.97,42.1,46.95,40.0606,853297059,0
,,,,,,,
30-09-2014,45.43,47.57,44.53,46.36,39.5572,860084532,0
,,,,,,,
29-08-2014,43.21,45.47,42.21,45.43,38.7637,513429400,0.28
,,,,,,,
31-07-2014,41.86,45.71,41.05,43.16,36.6007,731616500,0
,,,,,,,
30-06-2014,40.95,42.29,39.86,41.7,35.3626,555779700,0
,,,,,,,
30-05-2014,40.2401,40.97,38.51,40.94,34.7181,574362900,0.28
,,,,,,,
30-04-2014,41.15,41.66,38.9,40.4,34.0244,746113500,0
,,,,,,,
31-03-2014,37.92,41.5,37.495,40.99,34.5213,778425700,0
,,,,,,,
28-02-2014,37.74,38.46,35.69,38.31,32.2643,705304500,0.28
,,,,,,,
31-01-2014,37.35,37.89,34.63,37.84,31.6317,930226200,0
,,,,,,,
31-12-2013,38.09,38.98,35.53,37.41,31.2723,826617700,0
,,,,,,,
29-11-2013,35.67,38.29,35.39,38.13,31.8742,800431600,0.28
,,,,,,,
31-10-2013,33.35,36.29,32.8,35.405,29.3724,965331500,0
,,,,,,,
30-09-2013,31.75,33.75,30.95,33.28,27.6095,1242961500,0
,,,,,,,
30-08-2013,32.06,35.2,30.84,33.4,27.709,1051265000,0.23
,,,,,,,
31-07-2013,34.75,36.4299,31.02,31.84,26.2277,1111130600,0
,,,,,,,
28-06-2013,34.92,35.78,32.57,34.545,28.4559,945155500,0
,,,,,,,
31-05-2013,32.93,35.28,32.32,34.9,28.7483,1071860000,0.23
,,,,,,,
30-04-2013,28.64,33.11,28.11,33.1,27.0798,1322883228,0
,,,,,,,
28-03-2013,27.72,28.66,27.52,28.605,23.4024,844946000,0
,,,,,,,
28-02-2013,27.67,28.2,27.1,27.8,22.7438,780587000,0.23
,,,,,,,
31-01-2013,27.25,28.23,26.28,27.45,22.2747,1145054400,0
,,,,,,,
31-12-2012,26.78,27.73,26.26,26.7097,21.674,947310900,0
,,,,,,,
30-11-2012,28.84,30.2,26.3449,26.615,21.5972,1310516100,0.23
,,,,,,,
31-10-2012,29.81,30.25,27.76,28.54,22.9643,1105402300,0
,,,,,,,
28-09-2012,30.45,31.61,29.74,29.76,23.9459,893107700,0
,,,,,,,
31-08-2012,29.59,30.96,28.97,30.82,24.7988,671748400,0.2
,,,,,,,
31-07-2012,30.62,31.05,28.54,29.47,23.5562,846604100,0
,,,,,,,
29-06-2012,28.76,31.14,28.32,30.59,24.4515,973131400,0
,,,,,,,
31-05-2012,32.05,32.335,28.64,29.19,23.3324,1014372600,0.2
,,,,,,,
30-04-2012,32.22,32.89,30.23,32.015,25.4222,940739700,0
,,,,,,,
30-03-2012,31.93,32.95,31.49,32.255,25.6128,942366500,0
,,,,,,,
29-02-2012,29.79,32,29.71,31.74,25.2038,984332300,0.2
,,,,,,,
31-01-2012,26.55,29.95,26.39,29.53,23.2949,1354858100,0
,,,,,,,
30-12-2011,25.56,26.19,25.16,25.96,20.4787,1007166600,0
,,,,,,,
30-11-2011,26.19,27.2,24.3,25.58,20.1789,1046207400,0.2
,,,,,,,
31-10-2011,24.72,27.5,24.26,26.63,20.8513,1218142500,0
,,,,,,,
30-09-2011,26.46,27.5,24.6,24.89,19.4889,1279920200,0
,,,,,,,
31-08-2011,27.51,27.685,23.79,26.6,20.8278,1719339500,0.16
,,,,,,,
29-07-2011,25.93,28.145,25.84,27.4,21.3196,1259328200,0
,,,,,,,
30-06-2011,24.99,26,23.65,26,20.2303,1297757600,0
,,,,,,,
31-05-2011,25.94,26.25,24.03,25.01,19.46,1364062800,0.16
,,,,,,,
29-04-2011,25.53,26.87,24.72,25.92,20.0373,1313844800,0
,,,,,,,
31-03-2011,26.6,26.78,24.68,25.39,19.6276,1310885200,0
,,,,,,,
28-02-2011,27.8,28.34,26.43,26.58,20.5475,1114368500,0.16
,,,,,,,
31-01-2011,28.05,29.46,27.42,27.725,21.3062,1361258700,0
,,,,,,,
31-12-2010,25.57,28.4,25.56,27.91,21.4484,1033710000,0
,,,,,,,
30-11-2010,26.88,27.49,24.93,25.2575,19.41,1361176300,0.16
,,,,,,,
29-10-2010,24.49,27.2,23.78,26.665,20.3654,1281432800,0
,,,,,,,
30-09-2010,23.67,25.53,23.54,24.49,18.7042,1273139500,0
,,,,,,,
31-08-2010,25.99,26.38,23.32,23.465,17.9214,1279372100,0.13
,,,,,,,
30-07-2010,23.09,26.41,22.73,25.81,19.6092,1408590600,0
,,,,,,,
30-06-2010,25.53,26.93,22.95,23.01,17.4819,1671811600,0
,,,,,,,
28-05-2010,30.67,31.0606,24.56,25.8,19.6016,1720130200,0.13
,,,,,,,
30-04-2010,29.35,31.58,28.62,30.535,23.094,1319029500,0
,,,,,,,
31-03-2010,28.77,30.57,28.24,29.2875,22.1505,1110237200,0
,,,,,,,
26-02-2010,28.39,29.03,27.57,28.67,21.6835,1074643300,0.13
,,,,,,,
29-01-2010,30.62,31.24,27.66,28.18,21.2156,1359650900,0
,,,,,,,
31-12-2009,29.52,31.5,29.25,30.48,22.9472,920605500,0
,,,,,,,
30-11-2009,27.7,30.14,27.41,29.41,22.1417,1018256700,0.13
,,,,,,,
30-10-2009,25.405,29.35,24.43,27.73,20.7868,1523430100,0
,,,,,,,
